['0.0.0.0:80']
# Stats from 0.0.0.0:80
# [n], [mean], [std.], [min], [max]
1, 419.736, 318.096, 2.885, 997.071
2, 325.507, 288.988, 2.81, 997.41
3, 378.811, 339.7, 2.818, 983.431
4, 319.407, 313.012, 3.422, 991.853
5, 367.942, 292.374, 3.23, 985.087
6, 383.171, 325.399, 3.368, 984.687
7, 367.931, 290.324, 3.74, 986.462
8, 322.085, 264.555, 2.583, 905.658
9, 456.421, 323.6, 6.256, 990.751
10, 415.915, 304.365, 4.294, 976.049
11, 441.083, 299.631, 2.959, 998.947
12, 486.232, 289.164, 6.499, 987.194
13, 379.308, 273.036, 9.237, 988.813
14, 387.542, 292.011, 3.597, 997.747
15, 484.328, 279.986, 17.175, 987.947
16, 466.609, 254.508, 4.779, 997.886
17, 402.98, 295.865, 3.004, 973.839
18, 402.893, 289.725, 3.408, 992.891
19, 502.073, 288.286, 15.491, 993.677
20, 482.461, 278.068, 3.051, 979.665
